SRID;Кол-во;Доход_от_продажи;Расход_логистика;Расход_хранение;Прочие_удержания;Компенсация;Баланс;Возврат
11492946;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492947;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11514415117102596.0.0;3;2475.00;114.98;0.00;0.00;0.00;2360.02;НЕТ
11515532617133778.1.0;6;0.00;206.42;0.00;0.00;0.00;-206.42;НЕТ
1153556;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11566477;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11566478;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11566480;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11583198617016938.0.0;1;2585.00;182.49;0.00;0.00;0.00;2402.51;НЕТ
11583198617016938.1.0;2;0.00;210.45;0.00;0.00;0.00;-210.45;НЕТ
11586592117179528.0.0;4;0.00;161.47;0.00;0.00;0.00;-161.47;НЕТ
11586592117179544.0.0;3;2408.00;111.47;0.00;0.00;0.00;2296.53;НЕТ
116046412617360739.0.0;4;0.00;323.93;0.00;0.00;0.00;-323.93;НЕТ
11631722;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11631723;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11631724;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11631728;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11631729;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11638331;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11638332;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11638334;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11638336;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11638339;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639423;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639424;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639425;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639426;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639427;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639429;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639430;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639431;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639432;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639433;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11639434;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1165050;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11667821;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11667822;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11667823;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11667824;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702704;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702705;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702706;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702707;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702711;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702712;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702713;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702714;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702715;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702716;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702717;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702720;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11702721;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703848;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703849;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703850;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703852;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703853;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703854;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703855;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703856;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703857;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703858;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11703859;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736723;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736724;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736725;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736726;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736727;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736728;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736729;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736730;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11736731;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
